ENTITY_ID,Operator,12 Month Cum BOE (20:1),Lat,Long,Bakken, Lateral Length ,Slickwater,"Proppant, mmlbs","Fluid, mbbl"
128359492,Hess,"82,000",48.1,-102.8,1," 9,204 ",0, 1.3 , 29.0 
128545209,Hess,"82,000",48.2,-102.7,0," 10,257 ",0, 1.5 , 29.8 
128349607,Hess,"170,000",47.8,-102.9,0," 9,062 ",0, 1.3 , 25.2 
128261308,Whiting,"57,000",48.0,-102.4,1," 9,861 ",0, 1.4 , 29.5 
128122743,SM Energy,"49,000",48.1,-103.6,1," 9,898 ",0, 1.5 , 43.4 
128562007,Hess,"143,000",47.9,-102.8,1," 9,549 ",0, 1.4 , 30.8 
128151051,Enerplus,"68,000",47.6,-102.6,1," 9,177 ",0, 1.4 , 49.9 
128997723,Oasis,"97,000",48.3,-103.7,1," 10,067 ",0, 1.5 , 76.1 
128226285,Continental,"63,000",48.3,-103.3,0," 9,707 ",0, 1.5 , 61.5 
128732068,Hess,"175,000",47.9,-102.9,1," 10,733 ",0, 1.6 , 31.2 
128226634,Whiting,"93,000",48.0,-102.4,0," 9,451 ",0, 1.4 , 28.0 
128667172,Oasis,"112,000",48.1,-103.5,1," 9,494 ",0, 1.4 , 66.4 
128497528,Whiting,"33,000",48.2,-102.6,0," 7,770 ",0, 1.2 , 30.0 
128984183,Continental,"212,000",48.0,-103.4,1," 10,438 ",1, 1.6 , 87.9 
129015080,Oasis,"76,000",48.3,-103.7,0," 10,025 ",0, 1.5 , 77.2 
128349269,Hess,"102,000",47.9,-102.9,0," 8,410 ",0, 1.3 , 29.6 
127870301,Hess,"68,000",48.3,-102.7,1," 9,178 ",1, 1.4 , 71.2 
128349238,ConocoPhillips,"100,000",48.0,-102.9,1," 9,612 ",0, 1.5 , 33.5 
128998213,Oasis,"72,000",48.3,-103.7,1," 9,679 ",0, 1.5 , 68.1 
128213505,XTO,"41,000",47.9,-103.4,0," 9,574 ",0, 1.5 , 44.4 
128199591,Whiting,"49,000",48.1,-102.6,0," 8,181 ",0, 1.3 , 25.0 
129043481,Hess,"57,000",48.2,-102.6,0," 11,067 ",0, 1.7 , 49.1 
128943875,Whiting,"139,000",47.9,-103.4,0," 6,534 ",0, 1.0 , 79.3 
128997680,Oasis,"70,000",48.3,-103.7,1," 9,422 ",0, 1.5 , 70.6 
128275236,Hess,"139,000",47.8,-102.8,0," 9,347 ",0, 1.5 , 39.6 
128801811,Oasis,"186,000",48.0,-103.5,1," 12,306 ",0, 2.0 , 81.1 
128261397,Statoil,"45,000",48.0,-103.3,1," 10,089 ",0, 1.6 , 58.4 
128667105,Whiting,"53,000",48.1,-103.3,0," 9,749 ",0, 1.6 , 38.9 
128243477,Hess,"127,000",47.9,-102.8,0," 8,915 ",0, 1.4 , 58.0 
128226316,Whiting,"80,000",48.1,-102.4,0," 10,311 ",0, 1.7 , 27.0 
128914504,Oasis,"85,000",47.9,-103.3,0," 9,561 ",0, 1.5 , 89.8 
128261068,Hess,"85,000",48.2,-102.6,0," 10,171 ",0, 1.7 , 37.8 
128226321,Whiting,"86,000",48.1,-102.4,0," 10,225 ",0, 1.7 , 27.1 
128575390,Hess,"80,000",47.9,-103.2,0," 9,341 ",0, 1.5 , 48.1 
128943823,Hess,"73,000",48.2,-102.7,0," 10,536 ",0, 1.7 , 32.1 
128667035,Hess,"110,000",47.9,-102.9,0," 9,717 ",0, 1.6 , 36.0 
128335761,Whiting,"60,000",48.1,-102.4,0," 10,388 ",0, 1.7 , 39.7 
128212792,Whiting,"3,000",48.0,-102.5,0," 10,252 ",0, 1.7 , 25.6 
128901008,Oasis,"104,000",47.9,-103.3,0," 10,779 ",0, 1.8 , 85.7 
128261737,XTO,"82,000",47.8,-103.2,1," 8,965 ",0, 1.5 , 36.4 
128335246,Whiting,"79,000",48.1,-102.6,0," 10,005 ",0, 1.7 , 28.9 
128349242,Hess,"88,000",48.2,-102.8,1," 9,889 ",0, 1.7 , 27.9 
128801774,Oasis,"93,000",48.0,-103.5,0," 12,636 ",0, 2.1 , 126.0 
128952946,Oasis,"34,000",48.3,-103.7,0," 10,340 ",0, 1.8 , 50.0 
128275249,Hess,"159,000",47.8,-102.8,1," 9,191 ",0, 1.6 , 30.8 
128243850,QEP,"91,000",47.8,-102.4,0," 8,544 ",0, 1.5 , 44.2 
128611235,Hess,"108,000",48.2,-102.7,0," 10,151 ",0, 1.7 , 39.2 
128943761,Hess,"56,000",48.1,-102.6,1," 9,938 ",0, 1.7 , 29.9 
